Dataset,Date,Mean,PixelCount(zonal_stats),ValidInClip(mask),GeomValid,GeomEmpty,IntersectsRaster,BaseAllTouched,RetriedAllTouched,UsedFallback,BufferedTiny
ET020101,20220101,0.1584177221159769,158,158,True,False,True,False,False,False,False
ET020102,20220101,0.09975000015046033,360,360,True,False,True,False,False,False,False
ET020103,20220101,0.3551851838344225,54,54,True,False,True,False,False,False,False
ET020104,20220101,0.2934545454653827,55,55,True,False,True,False,False,False,False
ET020105,20220101,0.10878378422175711,74,74,True,False,True,False,False,False,False
ET020106,20220101,0.5114000016450881,50,50,True,False,True,False,False,False,False
ET020107,20220101,0.24333333472410837,3,3,True,False,True,False,False,False,True
ET020108,20220101,0.1390909090487644,99,99,True,False,True,False,False,False,False
ET020109,20220101,0.24824324371041478,74,74,True,False,True,False,False,False,False
ET020110,20220101,0.17452054709349185,146,146,True,False,True,False,False,False,False
ET020111,20220101,0.7199999988079071,2,2,True,False,True,False,False,False,False
ET020198,20220101,0.17999999970197678,2,2,True,False,True,False,False,False,False
ET020201,20220101,0.18543209958775544,81,81,True,False,True,False,False,False,False
ET020202,20220101,0.07636363533410159,11,11,True,False,True,False,False,False,False
ET020203,20220101,0.26838709293834623,31,31,True,False,True,False,False,False,False
ET020204,20220101,0.5605405399928222,37,37,True,False,True,False,False,False,False
ET020205,20220101,0.34422680332335,97,97,True,False,True,False,False,False,False
ET020206,20220101,0.34986301266575515,73,73,True,False,True,False,False,False,False
ET020207,20220101,0.4340572784652573,419,419,True,False,True,False,False,False,False
ET020208,20220101,0.21210300431550827,233,233,True,False,True,False,False,False,False
ET020209,20220101,0.44333332777023315,6,6,True,False,True,False,False,False,False
ET020301,20220101,0.6690476210344405,21,21,True,False,True,False,False,False,False
ET020302,20220101,0.7691428593226841,35,35,True,False,True,False,False,False,False
ET020303,20220101,0.2902112670347724,284,284,True,False,True,False,False,False,False
ET020304,20220101,0.7745098039215687,51,51,True,False,True,False,False,False,False
ET020305,20220101,1.3611999940872193,25,25,True,False,True,False,False,False,False
ET020306,20220101,0.890000004034776,13,13,True,False,True,False,False,False,False
ET020307,20220101,0.44629213582263905,89,89,True,False,True,False,False,False,False
ET020396,20220101,0.6600000063578287,3,0,True,False,True,False,True,False,False
ET020401,20220101,0.12464788802702662,71,71,True,False,True,False,False,False,False
ET020402,20220101,0.3978260866487804,46,46,True,False,True,False,False,False,False
ET020403,20220101,0.245157894854875,190,190,True,False,True,False,False,False,False
ET020404,20220101,0.7029629592542295,27,27,True,False,True,False,False,False,False
ET020405,20220101,0.5516666665673255,30,30,True,False,True,False,False,False,False
ET020501,20220101,0.37378378081563357,37,37,True,False,True,False,False,False,False
ET020502,20220101,0.7687234016174965,47,47,True,False,True,False,False,False,False
ET020503,20220101,0.5423999953269959,25,25,True,False,True,False,False,False,False
ET020504,20220101,0.4203225811642985,31,31,True,False,True,False,False,False,False
ET020505,20220101,0.7309090928597883,44,44,True,False,True,False,False,False,False
ET041207,20220101,0.8296703277053413,91,91,True,False,True,False,False,False,False
ET041208,20220101,1.012275859816321,145,145,True,False,True,False,False,False,False
ET041210,20220101,0.9674418617126553,86,86,True,False,True,False,False,False,False
ET041211,20220101,0.8774725293720161,91,91,True,False,True,False,False,False,False
ET041212,20220101,0.9746031730421005,252,252,True,False,True,False,False,False,False
ET041216,20220101,1.1345238061178298,84,84,True,False,True,False,False,False,False
ET041219,20220101,0.7346031739125176,126,126,True,False,True,False,False,False,False
ET041220,20220101,0.8349038465664937,104,104,True,False,True,False,False,False,False
ET041223,20220101,0.9869767385859822,43,43,True,False,True,False,False,False,False
ET041290,20220101,1.1189583378533523,48,48,True,False,True,False,False,False,False
ET041291,20220101,0.8153947356500124,76,76,True,False,True,False,False,False,False
ET041295,20220101,1.038549619776602,131,131,True,False,True,False,False,False,False
ET041296,20220101,0.9800000041723251,4,0,True,False,True,False,True,False,False
ET041298,20220101,0.8461212100404681,165,165,True,False,True,False,False,False,False
ET050101,20220101,0.19660919389805231,174,174,True,False,True,False,False,False,False
ET050102,20220101,0.2897647036129937,85,85,True,False,True,False,False,False,False
ET050103,20220101,0.22831932794960105,119,119,True,False,True,False,False,False,False
ET050104,20220101,0.24149999908570732,140,140,True,False,True,False,False,False,False
ET050105,20220101,0.3057831324277872,83,83,True,False,True,False,False,False,False
ET050106,20220101,0.15111111092662055,126,126,True,False,True,False,False,False,False
ET050107,20220101,0.6883871026577488,31,31,True,False,True,False,False,False,False
ET050198,20220101,0.36685714551380705,35,35,True,False,True,False,False,False,False
ET050199,20220101,0.13487562111842988,201,201,True,False,True,False,False,False,False
ET050202,20220101,0.7325000017881393,8,8,True,False,True,False,False,False,False
ET050203,20220101,0.7130000114440918,10,10,True,False,True,False,False,False,False
ET050204,20220101,0.5512244871684483,49,49,True,False,True,False,False,False,False
ET050205,20220101,0.44927272363142534,55,55,True,False,True,False,False,False,False
ET050206,20220101,0.4367010295391083,97,97,True,False,True,False,False,False,False
ET050207,20220101,0.2581879198551178,149,149,True,False,True,False,False,False,False
ET050283,20220101,0.5799999912579854,15,15,True,False,True,False,False,False,False
ET050290,20220101,0.369130437788756,23,23,True,False,True,False,False,False,False
ET050293,20220101,0.6057142870766776,7,7,True,False,True,False,False,False,False
ET050295,20220101,0.47000000476837156,5,5,True,False,True,False,False,False,False
ET050296,20220101,0.4583333333333333,6,0,True,False,True,False,True,False,False
ET050297,20220101,0.373199999332428,50,50,True,False,True,False,False,False,False
ET050298,20220101,0.4737037044984323,27,27,True,False,True,False,False,False,False
ET050299,20220101,0.34499999825601224,54,54,True,False,True,False,False,False,False
ET050301,20220101,0.3187288150696431,118,118,True,False,True,False,False,False,False
ET050302,20220101,0.2396638660120363,119,119,True,False,True,False,False,False,False
ET050303,20220101,0.2958064521512678,93,93,True,False,True,False,False,False,False
ET050304,20220101,0.3699472304384438,379,379,True,False,True,False,False,False,False
ET050305,20220101,0.28974683658231665,79,79,True,False,True,False,False,False,False
ET050306,20220101,0.30739130338896875,46,46,True,False,True,False,False,False,False
ET050307,20220101,0.2599999987416797,9,9,True,False,True,False,False,False,False
ET050382,20220101,0.3181632653791077,49,49,True,False,True,False,False,False,False
ET050392,20220101,0.2538766543245526,227,227,True,False,True,False,False,False,False
ET050394,20220101,0.2577647068921258,85,85,True,False,True,False,False,False,False
ET050395,20220101,0.4015624960884452,32,32,True,False,True,False,False,False,False
ET050399,20220101,0.3913333323266771,45,45,True,False,True,False,False,False,False
ET050402,20220101,0.4864285710666861,112,112,True,False,True,False,False,False,False
ET050403,20220101,0.22000000178813933,5,5,True,False,True,False,False,False,False
ET050404,20220101,0.25445945963666244,74,74,True,False,True,False,False,False,False
ET050407,20220101,0.3038888888226615,18,18,True,False,True,False,False,False,False
ET050408,20220101,0.6800000017339533,22,22,True,False,True,False,False,False,False
ET050497,20220101,0.5899999952978559,18,18,True,False,True,False,False,False,False
ET050498,20220101,0.24135593135478134,59,59,True,False,True,False,False,False,False
ET050499,20220101,0.25933333138624826,15,15,True,False,True,False,False,False,False
ET050501,20220101,0.26719298252933904,57,57,True,False,True,False,False,False,False
ET050502,20220101,0.3370129870516913,77,77,True,False,True,False,False,False,False
ET050503,20220101,0.39260526252420325,380,380,True,False,True,False,False,False,False
ET050504,20220101,0.3106976749245511,86,86,True,False,True,False,False,False,False
ET050586,20220101,0.5181578933669809,114,114,True,False,True,False,False,False,False
ET050592,20220101,0.2875000014901161,4,4,True,False,True,False,False,False,False
ET050595,20220101,0.58683544057834,79,79,True,False,True,False,False,False,False
ET050596,20220101,0.2063414627095548,41,41,True,False,True,False,False,False,False
ET050597,20220101,0.2669047611721215,84,84,True,False,True,False,False,False,False
ET050598,20220101,0.3278125000651926,64,64,True,False,True,False,False,False,False
ET050599,20220101,0.4586915876542296,107,107,True,False,True,False,False,False,False
ET050601,20220101,0.1132692308523334,104,104,True,False,True,False,False,False,False
ET050602,20220101,0.142975778360835,289,289,True,False,True,False,False,False,False
ET050603,20220101,0.11058823591755594,68,68,True,False,True,False,False,False,False
ET050604,20220101,0.0934285713891898,70,70,True,False,True,False,False,False,False
ET050605,20220101,0.18193181781944903,176,176,True,False,True,False,False,False,False
ET050606,20220101,0.2537113392399144,97,97,True,False,True,False,False,False,False
ET050607,20220101,0.23927536380031836,69,69,True,False,True,False,False,False,False
ET050608,20220101,0.12381578976974676,76,76,True,False,True,False,False,False,False
ET050696,20220101,0.056666666020949684,3,3,True,False,True,False,False,False,False
ET050698,20220101,0.1463235290173222,68,68,True,False,True,False,False,False,False
