,NDVI,X,Y,date
0,4552,39.41,3.271,20240727
1,4552,39.445,3.261,20240727
2,4552,39.492,3.254,20240727
3,4595,39.541,3.251,20240727
4,4744,39.59,3.253,20240727
5,4744,39.638,3.26,20240727
6,4744,39.672,3.271,20240727
7,4108,39.11,3.323,20240727
8,4028,39.145,3.316,20240727
9,4028,39.192,3.311,20240727
10,4414,39.241,3.309,20240727
11,4414,39.292,3.309,20240727
12,4527,39.342,3.306,20240727
13,4445,39.392,3.303,20240727
14,4552,39.441,3.301,20240727
15,4552,39.491,3.301,20240727
16,4595,39.541,3.301,20240727
17,4744,39.591,3.301,20240727
18,4744,39.641,3.301,20240727
19,4452,39.686,3.305,20240727
20,3452,39.718,3.323,20240727
21,3193,38.757,3.373,20240727
22,3485,38.795,3.368,20240727
23,3485,38.843,3.361,20240727
24,3769,38.892,3.356,20240727
25,3769,38.941,3.356,20240727
26,3783,38.99,3.358,20240727
27,3783,39.041,3.361,20240727
28,4108,39.093,3.353,20240727
29,4108,39.141,3.351,20240727
30,4028,39.191,3.351,20240727
31,4414,39.241,3.351,20240727
32,4414,39.291,3.351,20240727
33,4527,39.341,3.351,20240727
34,4527,39.391,3.351,20240727
35,5131,39.441,3.351,20240727
36,5131,39.491,3.351,20240727
37,5157,39.541,3.351,20240727
38,5157,39.591,3.351,20240727
39,3668,39.641,3.351,20240727
40,3452,39.691,3.351,20240727
41,3452,39.725,3.356,20240727
42,3198,38.362,3.425,20240727
43,3198,38.397,3.424,20240727
44,3814,38.442,3.423,20240727
45,3814,38.477,3.424,20240727
46,3634,38.604,3.422,20240727
47,3634,38.644,3.415,20240727
48,3634,38.693,3.408,20240727
49,3538,38.742,3.402,20240727
50,3677,38.791,3.401,20240727
51,3677,38.841,3.401,20240727
52,3858,38.891,3.401,20240727
53,3858,38.941,3.401,20240727
54,4737,38.991,3.401,20240727
55,4737,39.041,3.401,20240727
56,4503,39.091,3.401,20240727
57,4503,39.141,3.401,20240727
58,4074,39.191,3.401,20240727
59,4544,39.241,3.401,20240727
60,4544,39.291,3.401,20240727
61,5016,39.341,3.401,20240727
62,5016,39.391,3.401,20240727
63,6417,39.441,3.401,20240727
64,6417,39.491,3.401,20240727
65,4391,39.541,3.401,20240727
66,4391,39.591,3.401,20240727
67,3516,39.641,3.401,20240727
68,3398,39.691,3.401,20240727
69,3398,39.736,3.404,20240727
70,3398,39.77,3.422,20240727
71,2166,38.01,3.472,20240727
72,2166,38.045,3.462,20240727
73,1983,38.092,3.455,20240727
