date,X,Y,precipitation_sum
20240727,39.41,3.271,0.0
20240812,39.41,3.271,28.7
20240727,39.445,3.261,0.0
20240812,39.445,3.261,28.6
20240727,39.492,3.254,0.0
20240812,39.492,3.254,25.5
20240727,39.541,3.251,0.0
20240812,39.541,3.251,26.900002
20240727,39.59,3.253,0.0
20240812,39.59,3.253,27.3
20240727,39.638,3.26,0.0
20240812,39.638,3.26,24.6
20240727,39.672,3.271,0.0
20240812,39.672,3.271,23.4
20240727,39.11,3.323,0.0
20240812,39.11,3.323,21.9
20240727,39.145,3.316,0.0
20240812,39.145,3.316,24.5
20240727,39.192,3.311,0.0
20240812,39.192,3.311,24.2
20240727,39.241,3.309,0.0
20240812,39.241,3.309,24.1
20240727,39.292,3.309,0.0
20240812,39.292,3.309,28.7
20240727,39.342,3.306,0.0
20240812,39.342,3.306,32.8
20240727,39.392,3.303,0.0
20240812,39.392,3.303,35.1
20240727,39.441,3.301,0.0
20240812,39.441,3.301,27.6
20240727,39.491,3.301,0.0
20240812,39.491,3.301,26.6
20240727,39.541,3.301,0.0
20240812,39.541,3.301,28.6
20240727,39.591,3.301,0.0
20240812,39.591,3.301,27.5
20240727,39.641,3.301,0.0
20240812,39.641,3.301,26.099998
20240727,39.686,3.305,0.0
20240812,39.686,3.305,23.7
20240727,39.718,3.323,0.0
20240812,39.718,3.323,25.400002
20240727,38.757,3.373,0.0
20240812,38.757,3.373,5.9
20240727,38.795,3.368,0.0
20240812,38.795,3.368,15.3
20240727,38.843,3.361,0.0
20240812,38.843,3.361,10.5
20240727,38.892,3.356,0.0
20240812,38.892,3.356,19.0
20240727,38.941,3.356,0.0
20240812,38.941,3.356,19.5
20240727,38.99,3.358,0.0
20240812,38.99,3.358,12.8
20240727,39.041,3.361,0.0
20240812,39.041,3.361,8.400001
20240727,39.093,3.353,0.0
20240812,39.093,3.353,22.4
20240727,39.141,3.351,0.0
20240812,39.141,3.351,20.8
20240727,39.191,3.351,0.0
20240812,39.191,3.351,25.7
20240727,39.241,3.351,0.0
20240812,39.241,3.351,25.3
20240727,39.291,3.351,0.0
20240812,39.291,3.351,26.599998
20240727,39.341,3.351,0.0
20240812,39.341,3.351,28.5
20240727,39.391,3.351,0.0
20240812,39.391,3.351,34.1
20240727,39.441,3.351,0.0
20240812,39.441,3.351,34.0
20240727,39.491,3.351,0.0
20240812,39.491,3.351,31.900002
20240727,39.541,3.351,0.0
20240812,39.541,3.351,28.599998
20240727,39.591,3.351,0.0
20240812,39.591,3.351,29.7
20240727,39.641,3.351,0.0
20240812,39.641,3.351,26.900002
20240727,39.691,3.351,0.0
20240812,39.691,3.351,21.8
20240727,39.725,3.356,0.0
20240812,39.725,3.356,25.400002
20240727,38.362,3.425,0.0
20240812,38.362,3.425,20.8
20240727,38.397,3.424,0.0
20240812,38.397,3.424,25.0
20240727,38.442,3.423,0.0
20240812,38.442,3.423,24.900002
20240727,38.477,3.424,0.0
20240812,38.477,3.424,1.6
20240727,38.604,3.422,0.0
20240812,38.604,3.422,22.4
20240727,38.644,3.415,0.0
20240812,38.644,3.415,17.599998
20240727,38.693,3.408,7.2
20240812,38.693,3.408,8.2
20240727,38.742,3.402,7.7
20240812,38.742,3.402,6.3
20240727,38.791,3.401,0.0
20240812,38.791,3.401,8.3
20240727,38.841,3.401,0.0
20240812,38.841,3.401,9.299999
20240727,38.891,3.401,0.0
20240812,38.891,3.401,9.299999
20240727,38.941,3.401,0.0
20240812,38.941,3.401,11.2
20240727,38.991,3.401,0.0
20240812,38.991,3.401,26.5
20240727,39.041,3.401,0.0
